id,nombre,promedio,estado
1,Eva Reyes Durán,2.76,Suspenso
2,Santiago Serrano Herrero,4.35,Suspenso
3,Noemí Vega Sierra,4.3,Suspenso
4,Valeria Ferrer Camacho,3.03,Suspenso
5,Samuel Del Valle Herrero,4.94,Suspenso
6,Teresa Méndez Pardo,5.55,Aprobado
7,Natalia Martín Rico,5.47,Aprobado
8,Mireia Calderón Alemán,5.12,Aprobado
9,Iván Rey Gil,6.42,Aprobado
10,Manuel Díaz Correa,4.55,Suspenso
11,Ana Miranda Palma,3.7,Suspenso
12,Isabel Vargas Domínguez,6.83,Aprobado
13,Ángel Ramos Pacheco,2.88,Suspenso
14,Enrique Lara Herrera,4.9,Suspenso
15,Benjamín Gutiérrez Cuadrado,4.82,Suspenso
16,Noelia Marín Miranda,6.55,Aprobado
17,Ernesto Pérez Alemán,3.7,Suspenso
18,Irene Mora Del Valle,4.04,Suspenso
19,Jorge León Sierra,7.2,Aprobado
20,Verónica Reyes Cuenca,6.2,Aprobado
21,César Téllez Díaz,6.02,Aprobado
22,Patricia Villalba Benítez,5.7,Aprobado
23,Álvaro Palma Cebrián,3.68,Suspenso
24,Laura Molina Rico,6.93,Aprobado
25,Candela Alemán Cordero,6.42,Aprobado
26,Adrián Calvo Santos,6.44,Aprobado
27,Camila Herrero Palacios,5.24,Aprobado
28,Rosa López Romero,4.73,Suspenso
29,Alejandro Pozo Carrillo,7.6,Aprobado
30,Samuel Cruz Sierra,5.73,Aprobado
31,Elena Medina Morales,4.2,Suspenso
32,Hugo Ramos Téllez,4.83,Suspenso
33,Ignacio Alonso Camacho,5.87,Aprobado
34,Javier Sánchez Ramírez,5.93,Aprobado
35,Noemí Alemán Gil,7.76,Aprobado
36,Silvia Pozo Méndez,4.5,Suspenso
37,Lourdes Olivares Montoya,2.63,Suspenso
38,Lourdes Alemán Cruz,4.33,Suspenso
39,Blanca Camacho Román,5.0,Aprobado
40,Ricardo Miranda Campos,5.18,Aprobado
41,Noelia Villar Lara,3.68,Suspenso
42,Andrea Sierra Mora,4.97,Suspenso
43,Lucía Pinto Méndez,4.6,Suspenso
44,Francisco Espinosa Gómez,4.03,Suspenso
45,Alba Villar Delgado,4.4,Suspenso
46,Adela Hernández Bravo,4.64,Suspenso
47,Sergio Pozo Campos,5.4,Aprobado
48,Rubén Herrero Gallardo,6.53,Aprobado
49,Álvaro Bueno Calderón,4.65,Suspenso
50,Rafael Vicente Valdés,5.58,Aprobado
51,Tomás Fuentes Garrido,6.67,Aprobado
52,Pilar Miranda Carrasco,5.47,Aprobado
53,Joaquín Alemán Peña,5.7,Aprobado
54,Noelia Peña Romero,3.02,Suspenso
55,Cristina Herrera Luna,4.42,Suspenso
56,Álvaro Villalba Herrero,5.3,Aprobado
57,Raúl Vargas Prado,5.75,Aprobado
58,Raquel Rubio Flores,5.0,Aprobado
59,Nerea Cano Arias,7.83,Aprobado
